"ID","NORTHING","EASTING","ELEVATION","START_DATE","END_DATE"
169246,226800,468200,84,"28-02-1997 00:00:00","28-02-1997 00:00:00"
171450,228710,484850,109,"31-01-2011 00:00:00","31-10-2022 00:00:00"
171458,223886,500408,110,"30-11-1997 00:00:00","31-08-2010 00:00:00"
171975,227129,495958,100,"28-02-2009 00:00:00","30-09-2014 00:00:00"
172101,226200,491400,85,"30-09-2002 00:00:00","31-05-2003 00:00:00"
173378,228489,500206,149,"30-06-2013 00:00:00","31-07-2022 00:00:00"
175102,227586,520186,70,"31-10-2014 00:00:00","31-05-2024 00:00:00"
175107,227393,518175,90,"31-01-1996 00:00:00","31-01-2018 00:00:00"
175652,227000,503000,101,"31-01-1996 00:00:00","30-04-2003 00:00:00"
240201,221748,506458,137,"28-02-1998 00:00:00","31-01-2019 00:00:00"
240202,221748,506458,137,"31-05-1999 00:00:00","31-07-2008 00:00:00"
240349,214163,518008,86,"31-01-1996 00:00:00","30-04-2005 00:00:00"
240350,214163,518008,86,"31-10-2002 00:00:00","31-07-2022 00:00:00"
240469,210007,524531,68,"31-01-1996 00:00:00","30-06-2007 00:00:00"
240470,210007,524531,68,"30-04-1999 00:00:00","31-10-2011 00:00:00"
240661,227720,511070,147,"31-01-1996 00:00:00","30-04-2005 00:00:00"
240662,227720,511070,147,"28-02-1998 00:00:00","31-03-2019 00:00:00"
240815,220883,519267,98,"31-01-1996 00:00:00","31-12-2006 00:00:00"
240816,220883,519267,98,"28-02-1998 00:00:00","30-09-2012 00:00:00"
241242,229632,527592,108,"31-01-1996 00:00:00","30-06-2007 00:00:00"
241243,229632,527592,108,"30-06-1998 00:00:00","31-07-2022 00:00:00"
241458,222000,528400,70,"31-01-1998 00:00:00","30-06-2012 00:00:00"
246261,179332,528717,11,"30-06-2003 00:00:00","31-12-2010 00:00:00"
246262,180081,529808,5,"31-12-1997 00:00:00","30-11-2013 00:00:00"
246263,180081,529808,5,"31-03-1996 00:00:00","31-08-2007 00:00:00"
246356,177845,527687,6,"31-07-2010 00:00:00","30-04-2013 00:00:00"
246690,186204,526260,137,"31-03-2010 00:00:00","31-03-2010 00:00:00"
246692,187060,525660,94,"31-08-1996 00:00:00","31-12-2011 00:00:00"
246850,189054,519770,50,"31-03-2022 00:00:00","29-02-2024 00:00:00"
247302,188100,511000,53,"28-02-1997 00:00:00","31-10-1998 00:00:00"
247344,184494,509866,33,"31-07-2003 00:00:00","31-10-2022 00:00:00"
247345,184494,509866,33,"31-12-1995 00:00:00","31-12-1995 00:00:00"
247536,176724,507693,25,"31-07-2003 00:00:00","31-08-2008 00:00:00"
247570,175900,506000,23,"31-01-2001 00:00:00","31-01-2001 00:00:00"
247669,175308,515427,10,"31-12-2002 00:00:00","30-04-2009 00:00:00"
258727,222100,468300,89,"28-02-2001 00:00:00","31-05-2002 00:00:00"
258728,222100,468300,89,"30-09-2004 00:00:00","31-03-2005 00:00:00"
261602,209089,490564,200,"30-11-2002 00:00:00","30-06-2024 00:00:00"
261666,213800,493200,122,"31-12-1997 00:00:00","31-12-1997 00:00:00"
261849,218070,485003,83,"30-06-2005 00:00:00","30-06-2005 00:00:00"
261923,214792,479105,77,"31-03-2004 00:00:00","31-12-2021 00:00:00"
262173,214400,479000,73,"31-01-1996 00:00:00","31-01-1996 00:00:00"
262952,197600,472690,154,"30-06-2022 00:00:00","30-06-2022 00:00:00"
263709,199434,467690,87,"31-05-1998 00:00:00","31-05-2020 00:00:00"
263791,197100,472700,244,"31-01-1986 00:00:00","30-04-1999 00:00:00"
264872,181600,464200,162,"28-02-1999 00:00:00","31-01-2003 00:00:00"
265923,174047,472039,37,"31-03-2001 00:00:00","31-07-2014 00:00:00"
272242,175150,479250,38,"31-08-2022 00:00:00","31-08-2022 00:00:00"
272940,175000,485000,42,"31-01-1998 00:00:00","30-04-1998 00:00:00"
273189,187403,467022,210,"31-10-2005 00:00:00","31-12-2015 00:00:00"
273407,182200,475700,37,"31-05-1996 00:00:00","31-05-1999 00:00:00"
273466,189242,474150,120,"31-05-2005 00:00:00","30-06-2016 00:00:00"
273622,185220,478189,32,"30-06-2007 00:00:00","31-01-2024 00:00:00"
274100,187500,487500,28,"29-02-1996 00:00:00","31-05-1996 00:00:00"
274178,197147,474596,242,"31-10-2002 00:00:00","30-04-2014 00:00:00"
274318,198790,482590,204,"31-01-2002 00:00:00","31-08-2007 00:00:00"
274319,198790,482590,204,"31-12-1995 00:00:00","31-01-2014 00:00:00"
274441,199138,487077,155,"31-07-2021 00:00:00","31-07-2021 00:00:00"
274500,195464,486159,135,"31-08-2002 00:00:00","31-12-2004 00:00:00"
274545,192159,488298,67,"31-03-1998 00:00:00","31-03-1998 00:00:00"
274546,192159,488298,67,"28-02-2003 00:00:00","30-11-2005 00:00:00"
275166,181300,488200,38,"31-01-1998 00:00:00","30-04-1998 00:00:00"
275169,180400,489300,25,"31-01-1997 00:00:00","28-02-1997 00:00:00"
275443,179518,494290,22,"28-02-1998 00:00:00","31-05-2017 00:00:00"
275574,175425,497870,21,"28-02-1999 00:00:00","31-05-2022 00:00:00"
275611,182200,499800,45,"31-12-1997 00:00:00","28-02-2003 00:00:00"
276035,183733,504096,32,"31-08-1998 00:00:00","31-12-2012 00:00:00"
276036,183733,504096,32,"31-05-1999 00:00:00","31-08-2010 00:00:00"
276176,196664,521325,103,"31-05-1999 00:00:00","30-06-2007 00:00:00"
276177,196664,521325,103,"31-05-1999 00:00:00","31-05-2003 00:00:00"
276315,203685,523250,77,"30-06-1999 00:00:00","31-12-2006 00:00:00"
276316,203685,523250,77,"31-12-2003 00:00:00","31-07-2024 00:00:00"
276394,205736,519790,77,"31-08-1999 00:00:00","29-02-2020 00:00:00"
276431,207771,522046,104,"31-08-1999 00:00:00","29-02-2020 00:00:00"
276539,213280,513156,128,"30-04-2004 00:00:00","30-06-2008 00:00:00"
276541,213280,513156,128,"30-09-2002 00:00:00","30-04-2003 00:00:00"
276649,207759,518295,80,"31-08-1997 00:00:00","31-07-2007 00:00:00"
276650,208091,519200,79,"31-05-1999 00:00:00","30-04-2005 00:00:00"
276651,208091,519200,79,"31-10-2002 00:00:00","30-06-2003 00:00:00"
276761,194061,515215,155,"31-10-2000 00:00:00","29-02-2020 00:00:00"
276955,215531,507184,119,"31-01-1995 00:00:00","30-04-2005 00:00:00"
276956,215531,507184,119,"31-12-2004 00:00:00","30-06-2022 00:00:00"
277003,214900,509000,114,"31-07-1999 00:00:00","31-07-2006 00:00:00"
277021,215293,501241,194,"31-01-2017 00:00:00","31-03-2018 00:00:00"
277406,199994,514768,90,"31-01-1995 00:00:00","31-01-2007 00:00:00"
277407,199994,514768,90,"28-02-2001 00:00:00","31-05-2003 00:00:00"
277551,195983,515333,85,"30-09-2000 00:00:00","29-02-2020 00:00:00"
277604,195757,512034,62,"30-04-2002 00:00:00","31-12-2009 00:00:00"
277672,191619,509418,85,"28-02-2014 00:00:00","28-02-2014 00:00:00"
277777,210564,503584,104,"31-03-1998 00:00:00","31-01-2013 00:00:00"
277928,210400,495700,119,"31-01-1996 00:00:00","30-06-1998 00:00:00"
278739,200000,501400,139,"31-01-1996 00:00:00","31-10-1998 00:00:00"
278744,200027,501688,138,"30-06-1997 00:00:00","31-07-2024 00:00:00"
278796,193953,506253,48,"31-08-2000 00:00:00","29-02-2020 00:00:00"
278932,192239,503792,42,"30-11-2019 00:00:00","30-11-2019 00:00:00"
279021,197053,492955,150,"31-12-2017 00:00:00","30-09-2024 00:00:00"
279048,205641,484470,192,"30-06-1996 00:00:00","31-07-2008 00:00:00"
279271,196849,498868,127,"30-09-2004 00:00:00","31-07-2007 00:00:00"
287051,177257,518537,6,"31-01-2009 00:00:00","31-07-2014 00:00:00"
287052,177257,518537,6,"31-03-1996 00:00:00","31-08-2006 00:00:00"
